## date = '2019-05-11 18:33:50.515164'
## execstr = '/anaconda3/envs/riboseq/bin/metagene count genome/chrM_orfs_start_rois_ND4.txt data/metagene/T2_1/T2_1_ND4start --count_files data/mapping/T2_1.bam --threeprime --norm_region 30 200 --min_counts 0 --cmap Blues'
## args = {  
##          'big_genome'       : False,,
##          'cmap'             : 'Blues',,
##          'count_files'      : ['data/mapping/T2_1.bam'],,
##          'countfile_format' : 'BAM',,
##          'dpi'              : 150,,
##          'figformat'        : 'png',,
##          'figsize'          : None,,
##          'keep'             : False,,
##          'landmark'         : None,,
##          'mapping'          : 'threeprime',,
##          'max_length'       : 100,,
##          'maxmem'           : 0,,
##          'min_counts'       : 0,,
##          'min_length'       : 25,,
##          'nibble'           : 0,,
##          'norm_region'      : [30, 200],,
##          'normalize_over'   : None,,
##          'offset'           : 0,,
##          'outbase'          : 'data/metagene/T2_1/T2_1_ND4start',,
##          'program'          : 'count',,
##          'roi_file'         : 'genome/chrM_orfs_start_rois_ND4.txt',,
##          'stylesheet'       : None,,
##          'sum'              : None,,
##          'title'            : None,,
##          'use_mean'         : False,,
##          'warnlevel'        : 0,
##        }
x	metagene_average	regions_counted
-100	0.0	1
-99	0.004962779156327543	1
-98	0.0006203473945409429	1
-97	0.016129032258064516	1
-96	0.0018610421836228288	1
-95	0.0012406947890818859	1
-94	0.0006203473945409429	1
-93	0.0	1
-92	0.0012406947890818859	1
-91	0.0	1
-90	0.00620347394540943	1
-89	0.0012406947890818859	1
-88	0.02109181141439206	1
-87	0.0018610421836228288	1
-86	0.004962779156327543	1
-85	0.0024813895781637717	1
-84	0.04528535980148883	1
-83	0.0037220843672456576	1
-82	0.0	1
-81	0.0024813895781637717	1
-80	0.003101736972704715	1
-79	0.0006203473945409429	1
-78	0.0	1
-77	0.0	1
-76	0.007444168734491315	1
-75	0.018610421836228287	1
-74	0.0	1
-73	0.0	1
-72	0.0006203473945409429	1
-71	0.003101736972704715	1
-70	0.009305210918114143	1
-69	0.021712158808933003	1
-68	0.011166253101736972	1
-67	0.0	1
-66	0.0006203473945409429	1
-65	0.0012406947890818859	1
-64	0.008064516129032258	1
-63	0.017369727047146403	1
-62	0.026674937965260544	1
-61	0.004342431761786601	1
-60	0.0024813895781637717	1
-59	0.007444168734491315	1
-58	0.0012406947890818859	1
-57	0.009305210918114143	1
-56	0.0012406947890818859	1
-55	0.04838709677419355	1
-54	0.004962779156327543	1
-53	0.02357320099255583	1
-52	0.003101736972704715	1
-51	0.0	1
-50	0.0	1
-49	0.0018610421836228288	1
-48	0.0	1
-47	0.0024813895781637717	1
-46	0.005583126550868486	1
-45	0.0006203473945409429	1
-44	0.0	1
-43	0.004962779156327543	1
-42	0.0006203473945409429	1
-41	0.0	1
-40	0.0	1
-39	0.0006203473945409429	1
-38	0.0006203473945409429	1
-37	0.0	1
-36	0.0	1
-35	0.0012406947890818859	1
-34	0.0006203473945409429	1
-33	0.006823821339950372	1
-32	0.0012406947890818859	1
-31	0.0	1
-30	0.003101736972704715	1
-29	0.0037220843672456576	1
-28	0.011786600496277916	1
-27	0.0037220843672456576	1
-26	0.0	1
-25	0.0006203473945409429	1
-24	0.04094292803970223	1
-23	0.004962779156327543	1
